repo_name,course_number,course_title,term,year,levels,departments,topics,syllabus_words,github_url
6.00sc-spring-2011,6.00SC,Introduction to Computer Science and Programming,Spring,2011,Undergraduate,6,"[[""Engineering"", ""Computer Science""]]",925,https://github.com/mitocwcontent/6.00sc-spring-2011
14.461-fall-2012,14.461,Advanced Macroeconomics I,Fall,2012,Graduate,14,"[[""Social Science"", ""Economics"", ""Macroeconomics""]]",241,https://github.com/mitocwcontent/14.461-fall-2012
14.01-fall-2018,14.01,Principles of Microeconomics,Fall,2018,Undergraduate,14,"[[""Social Science"", ""Economics"", ""Microeconomics""]]",430,https://github.com/mitocwcontent/14.01-fall-2018
6.189-january-iap-2007,6.189,Multicore Programming Primer,January IAP,2007,Undergraduate,6,"[[""Engineering"", ""Computer Science"", ""Theory of Computation""], [""Engineering"", ""Computer Science"", ""Programming Languages""], [""Engineering"", ""Computer Science"", ""Software Design and Engineering""]]",1133,https://github.com/mitocwcontent/6.189-january-iap-2007
15.761-spring-2013,15.761,Introduction to Operations Management,Spring,2013,Graduate,15,"[[""Business""], [""Mathematics""], [""Social Science""]]",710,https://github.com/mitocwcontent/15.761-spring-2013
15.401-fall-2008,15.401,Finance Theory I,Fall,2008,Graduate,15,"[[""Social Science"", ""Economics"", ""Financial Economics""], [""Business"", ""Finance""]]",313,https://github.com/mitocwcontent/15.401-fall-2008
15.352-spring-2005,15.352,Managing Innovation: Emerging Trends,Spring,2005,Graduate,15,"[[""Business"", ""Innovation""], [""Business"", ""Management""]]",233,https://github.com/mitocwcontent/15.352-spring-2005
14.74-spring-2009,14.74,Foundations of Development Policy,Spring,2009,Undergraduate,14,"[[""Social Science"", ""Economics"", ""International Development""], [""Social Science"", ""Economics"", ""Developmental Economics""], [""Social Science"", ""Public Administration"", ""Public Policy""]]",554,https://github.com/mitocwcontent/14.74-spring-2009
6.172-fall-2018,6.172,Performance Engineering of Software Systems,Fall,2018,Undergraduate,6,"[[""Engineering"", ""Computer Science"", ""Algorithms and Data Structures""], [""Engineering"", ""Computer Science"", ""Software Design and Engineering""], [""Engineering"", ""Systems Engineering"", ""Systems Optimization""]]",296,https://github.com/mitocwcontent/6.172-fall-2018
14.451-spring-2007,14.451,Macroeconomic Theory I,Spring,2007,Graduate,14,"[[""Social Science"", ""Economics"", ""Macroeconomics""]]",673,https://github.com/mitocwcontent/14.451-spring-2007
6.042j-fall-2005,6.042J,Mathematics for Computer Science,Fall,2005,Undergraduate,6|18,"[[""Mathematics"", ""Applied Mathematics""], [""Mathematics"", ""Probability and Statistics""], [""Engineering"", ""Computer Science""], [""Mathematics"", ""Discrete Mathematics""]]",1371,https://github.com/mitocwcontent/6.042j-fall-2005
ids.505j-spring-2010,IDS.505J,"Engineering, Economics and Regulation of the Electric Power Sector",Spring,2010,Graduate,IDS|6|15|ESD,"[[""Energy"", ""Electricity""], [""Energy"", ""Renewables""], [""Social Science"", ""Public Administration"", ""Public Policy""], [""Engineering"", ""Systems Engineering""], [""Social Science"", ""Economics"", ""Industrial Organization""]]",966,https://github.com/mitocwcontent/ids.505j-spring-2010
6.972-spring-2006,6.972,Algebraic Techniques and Semidefinite Optimization,Spring,2006,Graduate,6,"[[""Engineering"", ""Systems Engineering"", ""Systems Optimization""], [""Mathematics"", ""Algebra and Number Theory""], [""Mathematics"", ""Computation""]]",929,https://github.com/mitocwcontent/6.972-spring-2006
18.905-fall-2016,18.905,Algebraic Topology I,Fall,2016,Graduate,18,"[[""Mathematics"", ""Topology and Geometry""]]",329,https://github.com/mitocwcontent/18.905-fall-2016
14.384-fall-2013,14.384,Time Series Analysis,Fall,2013,Graduate,14,"[[""Mathematics"", ""Probability and Statistics""], [""Social Science"", ""Economics""], [""Social Science"", ""Economics"", ""Econometrics""], [""Social Science"", ""Economics"", ""Macroeconomics""]]",367,https://github.com/mitocwcontent/14.384-fall-2013
20.010j-spring-2006,20.010J,Introduction to Bioengineering (BE.010J),Spring,2006,Undergraduate,20|2|6|7|10,"[[""Engineering"", ""Biological Engineering""], [""Science"", ""Biology"", ""Computation and Systems Biology""], [""Science"", ""Biology"", ""Molecular Biology""], [""Science"", ""Biology"", ""Cell Biology""]]",109,https://github.com/mitocwcontent/20.010j-spring-2006
18.175-spring-2014,18.175,Theory of Probability,Spring,2014,Graduate,18,"[[""Mathematics"", ""Mathematical Analysis""], [""Mathematics"", ""Probability and Statistics""]]",130,https://github.com/mitocwcontent/18.175-spring-2014
14.04-fall-2006,14.04,Intermediate Microeconomic Theory,Fall,2006,Undergraduate,14,"[[""Social Science"", ""Economics"", ""Microeconomics""]]",387,https://github.com/mitocwcontent/14.04-fall-2006
14.03-fall-2016,14.03,Microeconomic Theory and Public Policy,Fall,2016,Undergraduate,14,"[[""Social Science"", ""Economics"", ""Microeconomics""], [""Social Science"", ""Public Administration"", ""Public Policy""]]",657,https://github.com/mitocwcontent/14.03-fall-2016
14.387-fall-2014,14.387,Applied Econometrics: Mostly Harmless Big Data,Fall,2014,Graduate,14,"[[""Mathematics"", ""Probability and Statistics""], [""Social Science"", ""Economics""], [""Social Science"", ""Economics"", ""Econometrics""], [""Engineering"", ""Computer Science"", ""Data Mining""]]",603,https://github.com/mitocwcontent/14.387-fall-2014
15.320-spring-2011,15.320,Strategic Organizational Design,Spring,2011,Graduate,15,"[[""Business"", ""Organizational Behavior""], [""Business"", ""Leadership""], [""Business"", ""Management""], [""Business"", ""Innovation""]]",475,https://github.com/mitocwcontent/15.320-spring-2011
15.387-spring-2015,15.387,Entrepreneurial Sales,Spring,2015,Graduate,15,"[[""Business"", ""Entrepreneurship""], [""Business"", ""Management""], [""Business"", ""Marketing""]]",926,https://github.com/mitocwcontent/15.387-spring-2015
18.701-fall-2010,18.701,Algebra I,Fall,2010,Undergraduate,18,"[[""Mathematics"", ""Algebra and Number Theory""], [""Mathematics"", ""Linear Algebra""]]",250,https://github.com/mitocwcontent/18.701-fall-2010
22.611j-fall-2006,22.611J,Introduction to Plasma Physics I,Fall,2006,Graduate,22|8|6,"[[""Science"", ""Physics"", ""High Energy Physics""], [""Science"", ""Physics"", ""Nuclear Physics""], [""Science"", ""Physics"", ""Astrophysics""], [""Science"", ""Chemistry"", ""Physical Chemistry""]]",730,https://github.com/mitocwcontent/22.611j-fall-2006
18.a34-fall-2018,18.A34,Mathematical Problem Solving (Putnam Seminar),Fall,2018,Undergraduate,18,"[[""Mathematics""]]",334,https://github.com/mitocwcontent/18.a34-fall-2018
15.232-fall-2013,15.232,Business Model Innovation: Global Health in Frontier Markets,Fall,2013,Graduate,15,"[[""Business"", ""Health Care Management""], [""Business"", ""Management""], [""Health and Medicine"", ""Public Health""]]",1114,https://github.com/mitocwcontent/15.232-fall-2013
6.092-january-iap-2006,6.092,Java Preparation for 6.170,January IAP,2006,Undergraduate,6,"[[""Engineering"", ""Computer Science"", ""Programming Languages""], [""Engineering"", ""Computer Science"", ""Software Design and Engineering""]]",282,https://github.com/mitocwcontent/6.092-january-iap-2006
6.012-spring-2009,6.012,Microelectronic Devices and Circuits,Spring,2009,Undergraduate,6,"[[""Engineering"", ""Computer Science"", ""Computer Design and Engineering""], [""Engineering"", ""Electrical Engineering"", ""Electronics""]]",478,https://github.com/mitocwcontent/6.012-spring-2009
6.079-fall-2009,6.079,Introduction to Convex Optimization,Fall,2009,Undergraduate,6,"[[""Engineering"", ""Electrical Engineering""], [""Mathematics"", ""Applied Mathematics""], [""Engineering"", ""Systems Engineering"", ""Systems Optimization""]]",251,https://github.com/mitocwcontent/6.079-fall-2009
7.91j-spring-2014,7.91J,Foundations of Computational and Systems Biology,Spring,2014,Graduate,7|20|6|HST,"[[""Engineering"", ""Biological Engineering"", ""Computational Biology""], [""Science"", ""Biology"", ""Computation and Systems Biology""], [""Engineering"", ""Systems Engineering"", ""Computational Modeling and Simulation""]]",1148,https://github.com/mitocwcontent/7.91j-spring-2014
18.152-fall-2011,18.152,Introduction to Partial Differential Equations,Fall,2011,Undergraduate,18,"[[""Mathematics"", ""Differential Equations""]]",672,https://github.com/mitocwcontent/18.152-fall-2011
15.341-fall-2006,15.341,"Individuals, Groups, and Organizations",Fall,2006,Graduate,15,"[[""Business"", ""Organizational Behavior""], [""Social Science"", ""Sociology""], [""Social Science"", ""Psychology""]]",470,https://github.com/mitocwcontent/15.341-fall-2006
